date,home_team,away_team,winner,first_shooter,first_shooter_advantage,winner_is_home,home_advantage,match_era,shootout_order_winner
1967-08-22,India,Taiwan,Taiwan,,0,0,1,1960,second
1971-11-14,South Korea,Vietnam Republic,South Korea,,0,1,1,1970,second
1972-05-07,South Korea,Iraq,Iraq,,0,0,1,1970,second
1972-05-17,Thailand,South Korea,South Korea,,0,0,1,1970,second
1972-05-19,Thailand,Cambodia,Thailand,,0,1,1,1970,second
1973-04-21,Senegal,Ghana,Ghana,,0,0,1,1970,second
1973-06-14,Guinea,Mali,Guinea,,0,1,1,1970,second
1973-06-14,Mauritius,Tanzania,Mauritius,,0,1,1,1970,second
1973-07-26,Malaysia,Kuwait,Malaysia,,0,1,1,1970,second
1973-07-26,Cambodia,Singapore,Singapore,,0,0,1,1970,second
1973-07-27,Bangladesh,Thailand,Thailand,,0,0,1,1970,second
1973-07-28,Myanmar,South Korea,Myanmar,,0,1,1,1970,second
1973-08-09,India,Vietnam Republic,Vietnam Republic,,0,0,1,1970,second
1973-08-23,Algeria,Syria,Syria,,0,0,1,1970,second
1973-08-25,Algeria,Iraq,Algeria,,0,1,1,1970,second
1973-09-06,Singapore,Vietnam Republic,Vietnam Republic,,0,0,1,1970,second
1974-03-28,Qatar,United Arab Emirates,Qatar,,0,1,1,1970,second
1974-07-24,Hong Kong,Indonesia,Indonesia,,0,0,1,1970,second
1974-08-01,India,Indonesia,Indonesia,,0,0,1,1970,second
1974-10-09,Syria,Morocco,Morocco,,0,0,1,1970,second
1974-11-22,Libya,Tunisia,Tunisia,,0,0,1,1970,second
1974-12-18,South Korea,Malaysia,South Korea,,0,1,1,1970,second
1975-07-13,Morocco,Ghana,Morocco,,0,1,1,1970,second
1975-11-09,Kenya,Malawi,Kenya,,0,1,1,1970,second
1975-12-09,Thailand,Malaysia,Thailand,,0,1,1,1970,second
1975-12-23,Libya,Syria,Syria,,0,0,1,1970,second
1976-06-20,Czechoslovakia,Germany,Czechoslovakia,Czechoslovakia,1,1,1,1970,first
1976-12-22,South Korea,Malaysia,Malaysia,,0,0,1,1970,second
1977-01-09,Tunisia,Morocco,Tunisia,,0,1,1,1970,second
1977-03-22,Argentina,Iran,Argentina,,0,1,1,1970,second
1977-06-26,Zambia,Algeria,Zambia,,0,1,1,1970,second
1977-07-27,Iran,Morocco,Iran,,0,1,1,1970,second
1977-08-31,Paraguay,Argentina,Paraguay,,0,1,1,1970,second
1979-01-13,Guinea-Bissau,Mali,Mali,,0,0,1,1970,second
1979-01-14,Guinea-Bissau,Guinea,Guinea,,0,0,1,1970,second
1979-04-29,Cameroon,Guinea,Guinea,,0,0,1,1970,second
1979-05-22,Argentina,Netherlands,Argentina,Argentina,1,1,1,1970,first
1979-08-31,Seychelles,Mauritius,Seychelles,,0,1,1,1970,second
1979-09-29,Indonesia,Thailand,Indonesia,,0,1,1,1970,second
1980-02-16,Gambia,Mauritania,Gambia,,0,1,1,1980,second
1980-03-19,Algeria,Egypt,Algeria,,0,1,1,1980,second
1980-06-21,Italy,Czechoslovakia,Czechoslovakia,Italy,0,0,1,1980,second
1980-07-12,Nigeria,Tunisia,Nigeria,,0,1,1,1980,second
1980-11-30,Zambia,Morocco,Morocco,,0,0,1,1980,second
1980-12-31,Hong Kong,China PR,China PR,,0,0,1,1980,second
1981-02-13,Mali,Guinea,Guinea,,0,0,1,1980,second
1981-05-10,Rwanda,Ethiopia,Ethiopia,,0,0,1,1980,second
1981-12-13,Malaysia,Singapore,Malaysia,,0,1,1,1980,second
1982-02-21,Ivory Coast,Togo,Togo,,0,0,1,1980,second
1982-02-22,Ivory Coast,Burkina Faso,Burkina Faso,,0,0,1,1980,second
1982-03-19,Libya,Ghana,Ghana,,0,0,1,1980,second
1982-05-15,Thailand,Singapore,Thailand,,0,1,1,1980,second
1982-05-17,Thailand,South Korea,Thailand,,0,1,1,1980,second
1982-07-08,Germany,France,Germany,France,0,1,1,1980,second
1982-10-17,Indonesia,Malaysia,Indonesia,,0,1,1,1980,second
1982-11-27,Uganda,Kenya,Kenya,,0,0,1,1980,second
1983-02-06,Senegal,Niger,Senegal,,0,1,1,1980,second
1983-02-20,Gambia,Sierra Leone,Gambia,,0,1,1,1980,second
1983-02-27,Mali,Guinea,Mali,,0,1,1,1980,second
1983-04-22,Egypt,Congo,Egypt,,0,1,1,1980,second
1983-04-24,Mauritius,Ethiopia,Ethiopia,,0,0,1,1980,second
1983-06-04,Thailand,Malaysia,Thailand,,0,1,1,1980,second
1983-07-18,Hong Kong,Thailand,Thailand,,0,0,1,1980,second
1983-08-28,Morocco,Nigeria,Nigeria,,0,0,1,1980,second
1983-12-15,Ivory Coast,Mali,Ivory Coast,,0,1,1,1980,second
1983-12-18,Mali,Nigeria,Mali,,0,1,1,1980,second
1984-02-16,Sierra Leone,Mali,Sierra Leone,,0,1,1,1980,second
1984-02-19,Sierra Leone,Senegal,Senegal,,0,0,1,1980,second
1984-03-14,Egypt,Nigeria,Nigeria,,0,0,1,1980,second
1984-03-14,Algeria,Cameroon,Cameroon,,0,0,1,1980,second
1984-03-28,Iraq,Qatar,Iraq,,0,1,1,1980,second
1984-06-24,Denmark,Spain,Spain,Denmark,0,0,1,1980,second
1984-07-15,Senegal,Angola,Angola,,0,0,1,1980,second
1984-11-23,Kenya,Somalia,Kenya,,0,1,1,1980,second
1984-11-28,Ghana,Togo,Ghana,,0,1,1,1980,second
1984-12-08,Kenya,Somalia,Kenya,,0,1,1,1980,second
1984-12-13,Saudi Arabia,Iran,Saudi Arabia,,0,1,1,1980,second
1984-12-15,Malawi,Zambia,Zambia,,0,0,1,1980,second
1984-12-16,Iran,Kuwait,Kuwait,,0,0,1,1980,second
1984-12-16,Chad,Equatorial Guinea,Chad,,0,1,1,1980,second
1984-12-19,Central African Republic,Gabon,Gabon,,0,0,1,1980,second
1984-12-20,Congo,Cameroon,Cameroon,,0,0,1,1980,second
1985-04-16,Mozambique,Malawi,Mozambique,,0,1,1,1980,second
1985-04-21,Madagascar,Egypt,Egypt,,0,0,1,1980,second
1985-07-10,Bahrain,Qatar,Bahrain,,0,1,1,1980,second
1985-07-12,Saudi Arabia,Qatar,Saudi Arabia,,0,1,1,1980,second
1985-08-25,Mali,Guinea,Guinea,,0,0,1,1980,second
1985-08-31,Mauritius,Réunion,Mauritius,,0,1,1,1980,second
1985-09-15,Mozambique,Libya,Mozambique,,0,1,1,1980,second
1985-10-11,Kenya,Uganda,Kenya,,0,1,1,1980,second
1985-12-15,Singapore,Malaysia,Singapore,,0,1,1,1980,second
1985-12-25,Pakistan,Nepal,Nepal,,0,0,1,1980,second
1985-12-25,Bangladesh,India,India,,0,0,1,1980,second
1986-03-21,Egypt,Cameroon,Egypt,,0,1,1,1980,second
1986-06-21,Brazil,France,France,Brazil,0,0,1,1980,second
1986-06-21,Mexico,Germany,Germany,Germany,1,0,1,1980,first
1986-06-22,Spain,Belgium,Belgium,Spain,0,0,1,1980,second
